22	reliability-hardening-pass	implemented
23	secret-scrub-persistence	implemented
24	shell-write-gating-h1	implemented
25	write-boundary-default-h2	implemented
26	governance-exec-default-posture	implemented
27	events-jsonl-hot-path	implemented
28	behavioral-test-gaps	implemented
29	hygiene-format-lint-types	implemented
30	collapse-passthrough-ladder	implemented
31	extract-sessionops-controller	implemented
32	extract-lane-reducer	implemented
33	split-transcript-render	implemented
34	rendering-polish	implemented
35	width-aware-surface-hint	implemented
36	lane-todo-surfacing	implemented
37	hybrid-transcript-history	implemented
38	child-governance-skill-overlays	implemented
39	per-lane-steering	implemented
40	rewind-ghost-turns	implemented
41	approval-bar-needs-you	implemented
42	lane-aliasing-mode-badges	implemented
43	first-run-provider-mgmt	implemented
44	config-live-editing	implemented
45	session-manager-ops	implemented
46	source-and-routing-cli	implemented
47	desktop-notifications	implemented
48	mention-expansion	implemented
49	forge-capability-tier	implemented
50	self-improvement-loop	implemented
51	context-intelligence-logging	implemented
52	routing-matrix-mount	implemented
53	anchors-pin-lifecycle	implemented
54	amplifier-agent-eval	implemented
101	deferred-decision-dependency-blocking	new
102	provider-backed-classifier-seam	new
103	key-store-advisory-lock	new
104	sources-bundles-prepare	new
105	bundle-added-resolve	new
106	notification-config-and-cli	new
107	tool-invoke-cli	new
108	fork-session	new
109	run-invocation-flags	new
110	reset-command	new
